"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE/TCCA+WgAwIBAgIQIHqPXXnLh7AOoJuqgOIkdzANBgkqhkiG9w0BAQsFADA7MQswCQYDVQQGEwJVUzEeMBwGA1UEChMVR29vZ2xlIFRydXN0IFNlcnZpY2VzMQwwCgYDVQQDEwNXUjEwHhcNMjYwODI4MTMyOTI0WhcNMjYxMTI2MTQyOTE2WjATMREwDwYDVQQDEwhvbnBlLm9yZzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALTa55KMI2RXS4uyN4xlVDH75fbK5Vg4VD/RCB/yrPsFueqwYTGgoqJn2pOh8Sez7vSuAN+NvOpjrdB0ow4ZikaOtGTLy5h45TItuclIFNnzj3ekjvXBF6GDdJJfyyBj6yJqfSKzL6NO1oRYEdDQ0Ykx5Y/akuTD0dGfd3z7k8ziV8TodflM9So03FFueb9LBhf+lJ5QXlJIovUR8cDKOXHD/id8D7GWtvunTzmZrjDS4jykBO9ql7U9jukbqmsx+OspMP/wueFB2PQXIWcB3IadCReSzJhBcbRb4daaQWgc858/UAs1ukIGtd9vCIBHS+mDDGPVrL/FeuxBm+pgyLMCAwEAAaOCAiMwggIfMA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTyL2uxra67YXBJdkJoyZW/t9yM8TAfBgNVHSMEGDAWgBRmaUnU3iqckQPPiQ4kuA4wA26ILjA1BggrBgEFBQcBAQQpMCcwJQYIKwYBBQUHMAKGGWh0dHA6Ly9pLnBraS5nb29nL3dyMS5jcnQwHwYDVR0RBBgwFoIIb25wZS5vcmeCCioub25wZS5vcmcwEwYDVR0gBAwwCjAIBgZngQwBAgEwNgYDVR0fBC8wLTAroCmgJ4YlaHR0cDovL2MucGtpLmdvb2cvd3IxL0RLay1qTGNZektrLmNybDCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2ANdtfRDRp/V3wsfpX9cAv/mCyTNaZeHQswFzF8DIxWl3AAABoEjGhF4AAAQDAEcwRQIhAK0X5BRFEwcCeIGOqq1R8QHTrF6wi+fGXXntJRUoXBiIAiBfr3fbRAkEKV2fa2KTbn7K0P+ee8kulmuzeV6JNPoZuQB1AHTbnVj31H6d/Xh6FiqZHBjPaY2nxymRjJoYsEUNukS8AAABoEjGhuEAAAQDAEYwRAIgaHTQ8c7XgFg8NdEXpyLDa+jLnV6wLKViiS8Uq7mJkzkCIE0D/9nLnBWF9CSLoVVMKyFWgAkapdDElFdyZTFbX8uuMA0GCSqGSIb3DQEBCwUAA4IBAQBG+PFriX6qvDF1qUz7oipeQ5OC7q+LJH/IeELp1J0ADNpWsqRadYCUTj+KqFjtQlwqIp/+cC0PJOCnrZzKINP6VTZf8Aug/zcgjtCQzHSChBYCHM94QX4CKvKEQ8uz6UU+d4JhXl2dznBtoiuuqMFynCA+/t7GR4lmttdZ+be1e+/thjLq4uwyF29Fb78eYf8F527mVO6f3053rUF7rcqPi/pWpp8XJocH4ru4cyKft+YyEvHRXfO+n2W5tncWSN96ClH7eem7wpWJnHYZhZxMXzMjddrYEe37NJvxpZg40UC3rYsovynzyBo2CAxbUs/qYohYlZabD7JJq/hlnmTA\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","onpe.org","",""
"cert_commonName_wo_SNI <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","onpe.org *.onpe.org","",""
"cert_trust <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","Ok via SAN wildcard (SNI mandatory)","",""
"cert_trust <hostCert#1>_wildcard","www.onpe.org/104.18.27.211","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","70 >= 60 days","",""
"cert_notBefore <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","2026-08-28 13:29","",""
